,time,open,high,low,close,volume
175,1679270400000,28049.39,28543.0,27239.0,27816.33,709.31665892
176,1679184000000,26979.65,28492.3,26901.45,28049.39,503.53015928
177,1679097600000,27450.84,27760.38,26695.37,26979.65,619.48424892
178,1679011200000,25051.75,27812.97,24945.0,27450.84,1421.80938717
179,1678924800000,24386.43,25223.3,24224.24,25051.75,448.77754275
180,1678838400000,24767.85,25284.77,23944.83,24386.43,646.9300365
181,1678752000000,24236.61,26523.58,24047.19,24767.85,1186.533404
182,1678665600000,22413.76,24689.7,22127.0,24236.61,1285.91371805
183,1678579200000,21051.13,22999.99,20745.33,22413.76,1235.13970878
184,1678492800000,20215.95,22138.99,20200.6,21051.13,1856.0653611
185,1678406400000,20289.98,20300.0,19550.0,20215.95,818.99420246
186,1678320000000,21704.4,21900.0,19300.0,20289.98,1644.08557592
187,1678233600000,22211.93,22307.23,21583.39,21704.4,397.79410218
188,1678147200000,22441.68,22549.84,21942.0,22211.93,440.8633001
189,1678060800000,22428.34,22602.18,22270.25,22441.68,235.65236015
190,1677974400000,22350.02,22643.36,22204.08,22428.34,72.64644579
191,1677888000000,22502.71,23451.12,22166.71,22350.02,189.20877056
192,1677801600000,23468.44,23481.2,22000.0,22502.71,908.20267741
193,1677715200000,23652.59,23793.0,23202.72,23468.44,386.71251878
194,1677628800000,23129.61,23984.44,23030.0,23652.59,337.66522722
195,1677542400000,23494.73,23599.91,23031.92,23129.61,217.92765938
196,1677456000000,23552.6,23885.27,23131.79,23494.73,425.46705426
197,1677369600000,23170.88,23672.4,23069.14,23552.6,118.09264931
198,1677283200000,23192.31,23215.96,22763.07,23170.88,133.80869336
199,1677196800000,23948.04,24129.26,22853.7,23192.31,544.58657314
200,1677110400000,24187.13,24600.0,23626.93,23948.04,350.60970533
201,1677024000000,24450.5,24478.31,23585.31,24187.13,400.01895287
202,1676937600000,24837.6,25250.0,24165.65,24450.5,612.68181797
203,1676851200000,24289.53,25108.87,23857.95,24837.6,290.410564
204,1676764800000,24633.13,25191.45,24211.0,24289.53,181.33495616
205,1676678400000,24583.56,24862.26,24447.4,24633.13,90.85929172
206,1676592000000,23520.73,25022.41,23362.63,24583.56,502.78212165
207,1676505600000,24327.71,25248.87,23515.96,23520.73,907.09271257
208,1676419200000,22213.76,24372.86,22059.99,24327.71,730.37852262
209,1676332800000,21788.17,22322.35,21554.84,22213.76,343.04603628
210,1676246400000,21784.4,21897.79,21379.61,21788.17,398.66300025
211,1676160000000,21859.91,22077.22,21641.41,21784.4,118.51474121
212,1676073600000,21632.82,21906.38,21615.75,21859.91,166.7123247
213,1675987200000,21796.38,21929.99,21456.05,21632.82,554.60735366
214,1675900800000,22975.33,23100.19,21686.0,21796.38,525.55483961
215,1675814400000,23253.86,23442.0,22688.24,22975.33,249.03259979
216,1675728000000,22763.32,23343.32,22749.55,23253.86,240.16915739
217,1675641600000,22942.21,23158.26,22644.04,22763.32,376.69626578
218,1675555200000,23344.6,23425.0,22763.36,22942.21,138.76698788
219,1675468800000,23443.73,23575.81,23265.61,23344.6,138.50579608
220,1675382400000,23486.51,23716.32,23218.51,23443.73,337.45675305
221,1675296000000,23715.81,24254.29,23378.84,23486.51,511.64962701
222,1675209600000,23138.09,23800.0,22801.85,23715.81,462.53413689
223,1675123200000,22829.24,23303.72,22738.61,23138.09,371.24316228
224,1675036800000,23761.08,23809.8,22498.99,22829.24,498.13991668
225,1674950400000,23031.37,23953.42,22989.34,23761.08,335.61908423
226,1674864000000,23075.34,23185.18,22888.45,23031.37,132.82086638
227,1674777600000,23013.37,23495.58,22554.27,23075.34,442.03440767
228,1674691200000,23054.33,23283.49,22866.73,23013.37,509.19151441
229,1674604800000,22645.03,23817.34,22333.44,23054.33,561.02502611
230,1674518400000,22916.75,23160.7,22476.89,22645.03,473.85795177
231,1674432000000,22721.82,23171.47,22514.35,22916.75,445.45538694
232,1674345600000,22790.41,23068.38,22311.47,22721.82,208.93791936
233,1674259200000,22686.63,23354.72,22454.78,22790.41,502.87687347
234,1674172800000,21087.22,22759.31,20870.0,22686.63,644.70246736
235,1674086400000,20680.0,21188.14,20627.1,21087.22,497.99426156
236,1674000000000,21141.43,21647.71,20413.93,20680.0,671.19749984
237,1673913600000,21191.65,21595.31,20860.02,21141.43,497.83449605
238,1673827200000,20895.0,21455.1,20642.35,21191.65,587.70632258
239,1673740800000,20961.71,21053.04,20565.81,20895.0,383.2044192
240,1673654400000,19934.04,21500.0,19903.19,20961.71,871.11661726
241,1673568000000,18855.23,19997.79,18725.49,19934.04,941.78050059
242,1673481600000,17949.47,19108.8,17900.0,18855.23,1193.45464522
243,1673395200000,17442.95,17994.78,17302.14,17949.47,372.09028448
244,1673308800000,17180.0,17493.45,17156.45,17442.95,324.81857675
245,1673222400000,17127.57,17407.7,17111.19,17180.0,622.89133894
246,1673136000000,16946.56,17164.05,16916.77,17127.57,224.22807971
247,1673049600000,16952.92,16982.71,16881.18,16946.56,211.53570022
248,1672963200000,16826.69,17041.86,16672.75,16952.92,405.64507287
249,1672876800000,16854.3,16879.4,16745.82,16826.69,425.29875098
250,1672790400000,16674.15,16975.08,16652.23,16854.3,629.77956663
251,1672704000000,16666.61,16765.83,16590.9,16674.15,440.39688852
252,1672617600000,16612.45,16775.0,16553.53,16666.61,292.35109285
253,1672531200000,16529.0,16625.55,16489.46,16612.45,405.57697597
